source_row	name	source_category	source_subcategory	tool_url	publication_url	year	programming_language	proposed_primary_function	proposed_platforms	proposed_analysis_types	proposed_interfaces	proposed_resource_type	flags
281	Metabox 2.0	Holistic/ Standalone Tools		http://metsysbio.com/metabox, https://github.com/kwanjeeraw/metabox2	https://academic.oup.com/gigascience/article/doi/10.1093/gigascience/giae005/7629842	2024	R, HTML	quality_control	platform_independent		r_package	programming_package	broad_source_bucket_manual_review
287	Chemprop-IR	IR		https://github.com/gfm-collab/chemprop-IR	https://pubs.acs.org/doi/10.1021/acs.jcim.1c00055	2021	Python	quality_control	platform_independent		python_package	programming_package	ir_scope_or_platform
323	MassQLab	Quality Control		https://github.com/JohnsonDylan/MassQLab	https://analyticalsciencejournals.onlinelibrary.wiley.com/doi/full/10.1002/rcm.10132	2025	Python	quality_control	lc_ms		python_package	programming_package	
328	MetaMOPE	Quality Control		https://metamope.cmdm.tw; https://github.com/CMDM-Lab/MetaMOPE	https://academic.oup.com/bioinformaticsadvances/advance-article/doi/10.1093/bioadv/vbad061/7172446	2023	Ruby, HTML, R, SCSS, JavaScript	quality_control	lc_ms		r_package	workflow_pipeline	
334	mzQuality	Quality Control		https://github.com/hankemeierlab/mzQuality	https://pubs.acs.org/doi/full/10.1021/jasms.5c00073	2025	R	quality_control	platform_independent		r_package	workflow_pipeline	
353	PeakQC	Quality Control		https://github.com/pnnl/IonToolPack	https://pubs.acs.org/doi/10.1021/jasms.4c00146	2024	Python	quality_control	lc_ms	lipidomics	python_package	programming_package	
355	PMart	Multifunctional		https://github.com/pmartR/PMart_ShinyApp	https://pubs.acs.org/doi/10.1021/acs.jproteome.3c00512	2024	R	quality_control	platform_independent	lipidomics	r_package	programming_package	mixed_nmr_mentions;broad_source_bucket_manual_review
368	MSIGen	Imaging MS		https://github.com/LabLaskin/MSIGen	https://pubs.acs.org/doi/abs/10.1021/jasms.4c00178	2024	Python	quality_control	imaging_ms		python_package	workflow_pipeline	
386	InjectionDesign	Quality Control		https://github.com/CSi-Studio/InjectionDesign, http://www.injection.design/	https://www.biorxiv.org/content/10.1101/2023.02.26.530140v1.article-info	2023	TypeScript, Java, Less, EJS, Webserver	quality_control	gc_ms;lc_ms	multiomics	web_app	web_service	
387	MetaPro	Quality Control		https://github.com/CSi-Studio/MetaPro	https://link.springer.com/article/10.1007/s11306-023-02018-6	2023	Java, JavaScript	quality_control	lc_ms	targeted	command_line	workflow_pipeline	
401	OSCA Finder	Quality Control		https://github.com/dawnmengsjtu/OSCA-Finder	https://www.sciencedirect.com/science/article/pii/S0039914023004964	2023	MATLAB	quality_control	lc_ms		matlab	workflow_pipeline	
438	RawHummus	Quality Control		https://github.com/YonghuiDong/RawHummus	https://academic.oup.com/bioinformatics/article/38/7/2072/6515613	2022	R, CSS	quality_control	lc_ms	lipidomics	r_package	programming_package	
451	hRUV	Quality Control		https://github.com/SydneyBioX/hRUV	https://www.nature.com/articles/s41467-021-25210-5	2021	R	quality_control	lc_ms		r_package	workflow_pipeline	
475	QComics	Quality Control		https://github.com/ricoderks/QComics	https://pubs.acs.org/doi/10.1021/acs.analchem.3c03660	2024	R	quality_control	platform_independent		r_package	workflow_pipeline	
489	MultiBaC	Quality Control		https://github.com/ConesaLab/MultiBaC	https://academic.oup.com/bioinformatics/advance-article/doi/10.1093/bioinformatics/btac132/6541627	2022	R	quality_control	platform_independent	multiomics	r_package	programming_package	
495	Dbnorm	Quality Control		https://github.com/NBDZ/dbnorm	https://www.nature.com/articles/s41598-021-84824-3	2021	R	quality_control	platform_independent		r_package	programming_package	
526	MAFFIN	Quality Control		https://github.com/HuanLab/MAFFIN	https://academic.oup.com/bioinformatics/advance-article-abstract/doi/10.1093/bioinformatics/btac355/6593484	2022	R	quality_control	platform_independent		r_package	workflow_pipeline	
527	Paramounter	Quality Control		https://github.com/HuanLab/Paramounter	https://pubs.acs.org/doi/10.1021/acs.analchem.1c04758	2022	R	quality_control	lc_ms	untargeted	r_package	programming_package	
574	marr	Quality Control		http://bioconductor.org/packages/release/bioc/html/marr.html	https://bmcbioinformatics.biomedcentral.com/articles/10.1186/s12859-021-04336-9	2021	R	quality_control	platform_independent		r_package	programming_package	
583	QC4Metabolomics	Quality Control		https://github.com/stanstrup/QC4Metabolomics	https://doi.org/10.1021/acs.analchem.4c07078	2025	R	quality_control	lc_ms	untargeted	r_package	programming_package	
584	MetaVision3D	Imaging MS		https://metavision3d.rc.ufl.edu	https://www.nature.com/articles/s42255-025-01242-9	2025	Python, Webserver	quality_control	imaging_ms;maldi_ms	spatial_metabolomics	web_app;python_package	database_knowledgebase	
605	MSNORM	Quality Control		https://pubs.acs.org/doi/suppl/10.1021/jasms.3c00295/suppl_file/js3c00295_si_001.txt	https://pubs.acs.org/doi/10.1021/jasms.3c00295	2023	R	quality_control	maldi_ms		r_package	workflow_pipeline	
616	Shinyscreen	Quality Control		https://gitlab.com/uniluxembourg/lcsb/eci/shinyscreen	https://link.springer.com/article/10.1186/s13321-025-01044-x	2025	R	quality_control	platform_independent	untargeted	r_package	database_knowledgebase	
647	MetaboLink	Multifunctional		https://github.com/anitamnd/MetaboLink	https://academic.oup.com/bioinformatics/article/40/7/btae459/7715873	2024	R	quality_control	lc_ms	untargeted	r_package	workflow_pipeline	broad_source_bucket_manual_review
672	LipidSpace	Lipidomics		https://lifs-tools.org/tools/lipidspace.html	https://pubs.acs.org/doi/10.1021/acs.analchem.3c02449	2023	Java	quality_control	platform_independent	lipidomics		workflow_pipeline	
681	LipiDex 2	Lipidomics		https://github.com/coongroup/LipiDex-2	https://pubs.acs.org/doi/10.1021/acs.analchem.4c00359	2024	C#	quality_control	lc_ms	lipidomics	command_line	workflow_pipeline	
688	LipidQMap	Imaging MS		https://github.com/swinnenteam/LipidQMap	https://www.biorxiv.org/content/10.1101/2025.10.15.682422v1	2025	Python	quality_control	imaging_ms	lipidomics	python_package	database_knowledgebase	
709	RawBeans	Quality Control		https://bitbucket.org/incpm/prot-qc/downloads/	https://pubs.acs.org/doi/10.1021/acs.jproteome.0c00956	2021	Python	quality_control	lc_ms		python_package	programming_package	scope_review_adjacent_field
713	iDIA-QC	Quality Control		https://github.com/guomics-lab/iDIA-QC	https://www.nature.com/articles/s41467-024-54871-1	2025	Python, HTML	quality_control	lc_ms		python_package	programming_package	scope_review_adjacent_field
718	CordBat	Quality Control		https://github.com/BorchLab/CordBat	https://pubs.acs.org/doi/abs/10.1021/acs.analchem.2c05748	2023	R	quality_control	platform_independent		r_package	programming_package	
